nome	lat	lon	pop	X	UF
Cascavel	-4.116667	-38.233333	52357	1.77	CE
Missão Velha	-7.25	-39.133333	13106	1.3	CE
Crateús	-5.166667	-40.666667	52934	2.54	CE
Pentecoste	-3.8	-39.283333	19681	1.64	CE
Reriutaba	-4.166667	-40.583333	12076	1.04	CE
Camocim	-2.89	-40.846111	44482	2.18	CE
Juazeiro do Norte	-7.2	-39.333333	225234	3.21	CE
Barroquinha	-2.983333	-41.083333	12410	1.47	CE
Iguatu	-6.366667	-39.3	70381	2.35	CE
Lavras da Mangabeira	-6.75	-38.95	17221	1.69	CE
Nôvo Oriente	-5.533333	-40.766667	14529	1.67	CE
Horizonte	-4.083333	-38.483333	51181	1.62	CE
Aracoiaba	-4.383333	-38.816667	13425	1.03	CE
Jucás	-6.533333	-39.533333	14822	1.56	CE
Umirim	-3.683333	-39.333333	12220	1.18	CE
Santana do Acaraú	-3.45	-40.2	14707	1.24	CE
Choròzinho	-4.3	-38.483333	9755	1.16	CE
Planaltina	-15.616667	-47.666667	88855	1.96	DF
Brasília	-15.783333	-47.916667	2207812	3.93	DF
Cachoeiro de Itapemirim	-20.85	-41.1	187023	2.59	ES
Guarapari	-20.666667	-40.5	100927	2.09	ES
Rio Novo do Sul	-20.866667	-40.933333	6717	1.17	ES
Aracruz	-19.816667	-40.266667	58272	1.87	ES
Viana	-20.383333	-40.5	55123	1.54	ES
Barra de São Francisco	-18.75	-40.866667	20743	1.84	ES
Santa Leopoldina	-20.1	-40.533333	2327	1.02	ES
Muniz Freire	-20.466667	-41.416667	8312	1.21	ES
Jerônimo Monteiro	-20.783333	-41.4	6902	1.09	ES
Ecoporanga	-18.383333	-40.833333	13774	1.65	ES
São José do Calçado	-21.033333	-41.666667	7442	0.99	ES
Colatina	-19.533333	-40.616667	101193	2.26	ES
São Mateus	-18.733333	-39.85	77119	2.3	ES
Itapemirim	-21.016667	-40.833333	17536	0.53	ES
Castelo	-20.6	-41.2	20198	1.6	ES
Alegre	-20.766667	-41.533333	19758	1.35	ES
Marataízes	-21.033333	-40.833333	25397	1.72	ES
Baixo Guandu	-19.516667	-41.016667	19292	1.75	ES
Marechal Floriano	-20.416667	-40.666667	5869	0.69	ES
Boa Esperança	-18.55	-40.283333	9254	1.31	ES
Rio Bananal	-19.266667	-40.333333	4814	1.35	ES
Muqui	-20.95	-41.3	8614	1.13	ES
Marilândia	-19.416667	-40.516667	3900	1.03	ES
Cariacica	-20.266667	-40.416667	330681	1.94	ES
Alfredo Chaves	-20.633333	-40.75	6422	1.24	ES
Guaçuí	-20.766667	-41.683333	19787	1.7	ES
Vitória	-20.316667	-40.35	312662	1.6	ES
Nova Venécia	-18.716667	-40.4	28363	1.97	ES
Conceição do Castelo	-20.366667	-41.25	4538	1.15	ES
Itarana	-19.85	-40.866667	4060	0.65	ES
Ibiraçu	-19.833333	-40.366667	8921	0.98	ES
Santa Teresa	-19.916667	-40.6	9160	1.31	ES
Vila Velha	-20.333333	-40.283333	394937	3.33	ES
João Neiva	-19.75	-40.4	10383	1.21	ES
Vargem Alta	-20.666667	-41	4672	1.19	ES
Montanha	-18.133333	-40.35	11934	1.53	ES
Pancas	-19.233333	-40.85	8184	1.49	ES
Iúna	-20.35	-41.533333	14290	1.71	ES
Itaguaçu	-19.8	-40.85	8202	1.42	ES
